src	sys_out	BLEU	sentBLEU	NIST	METEOR	ROUGE_L	CIDEr
name[Blue Spice], eatType[coffee shop], area[city centre]	Blue Spice is in city centre and it is a coffee shop.	0.3574	0.4375	2.9956	0.5075	0.5865	3.9472
name[Blue Spice], eatType[coffee shop], area[riverside]	Blue Spice is in riverside and it is a coffee shop.	0.2790	0.3636	2.7825	0.3927	0.4314	3.9318
name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is near Crowne Plaza Hotel with a 5 out of 5 rating and it is a coffee shop.	0.3586	0.4064	4.1230	0.4361	0.6065	3.3431
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]	Blue Spice is near Burger King with an average rating and it is a coffee shop.	0.3169	0.3901	5.1133	0.3982	0.4721	2.9826
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is near Crowne Plaza Hotel with an average rating and it is a coffee shop.	0.0000	0.2634	2.9521	0.4043	0.4266	3.3170
name[Blue Spice], eatType[pub], area[city centre]	Blue Spice is in city centre and it is a pub.	0.0001	0.3574	2.8566	0.4945	0.6501	3.6566
name[Blue Spice], eatType[pub], area[riverside]	Blue Spice is in riverside and it is a pub.	0.0000	0.2790	2.6134	0.3686	0.4000	3.1165
name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is near Crowne Plaza Hotel with a 5 out of 5 rating and it is a pub.	0.3477	0.3969	4.0480	0.4252	0.6406	3.3023
name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]	Blue Spice is near Burger King with an average rating and it is a pub.	0.0000	0.2949	4.8983	0.3827	0.5131	2.8812
name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is near Crowne Plaza Hotel with an average rating and it is a pub.	0.0000	0.2469	2.8235	0.3909	0.4543	3.0441
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a pub, it is in city centre near Rainbow Vegetarian Café, it is a chinese restaurant and it is n 't kid friendly.	0.3336	0.3632	4.3111	0.3990	0.5000	1.1203
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a pub, it is in city centre near Rainbow Vegetarian Café and it is a chinese restaurant and family friendly.	0.3537	0.3908	4.6556	0.3892	0.6416	3.3052
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is in riverside near Rainbow Vegetarian Café, it is a pub, it is a chinese restaurant and it is n 't kid friendly.	0.2542	0.2924	4.1561	0.3581	0.4871	1.6235
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a pub, it is in riverside near Rainbow Vegetarian Café and it is a chinese restaurant and family friendly.	0.5068	0.5348	6.0820	0.4633	0.7189	2.5354
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is n 't kid friendly, it 's near Rainbow Vegetarian Café in city centre, it is an english restaurant and it is a pub.	0.2827	0.3218	3.7297	0.3267	0.6044	1.4424
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is in city centre near Rainbow Vegetarian Café, it is an english restaurant and family friendly and it is a pub.	0.3808	0.4126	4.6154	0.4352	0.4583	2.4716
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a pub, it is near Rainbow Vegetarian Café in riverside, it is an english restaurant and it is n 't kid friendly.	0.3062	0.3403	4.1218	0.3776	0.6095	1.1409
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is in riverside near Rainbow Vegetarian Café, it is an english restaurant and family friendly and it is a pub.	0.6339	0.6526	7.5201	0.4182	0.5764	2.5546
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is near Rainbow Vegetarian Café in city centre, it is a chinese restaurant and it is n 't family friendly.	0.2912	0.3310	4.2772	0.4518	0.5990	0.9620
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is near Rainbow Vegetarian Café in city centre, it is a chinese restaurant and it is kid friendly.	0.3061	0.3530	4.7753	0.3847	0.4593	3.3082
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is near Rainbow Vegetarian Café in riverside, it is a chinese restaurant and it is n 't kid friendly.	0.3083	0.3560	4.4806	0.3654	0.4747	1.7775
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is near Rainbow Vegetarian Café in riverside, it is a chinese restaurant and it is kid friendly.	0.6627	0.6813	7.5055	0.4917	0.6661	2.9921
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is near Rainbow Vegetarian Café in city centre, it is an english restaurant and it is n 't family friendly.	0.2667	0.3070	3.6495	0.3611	0.6040	1.3840
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is in city centre near Rainbow Vegetarian Café, it is an english restaurant and family friendly and it is a restaurant.	0.3885	0.4203	4.6815	0.4481	0.4583	2.4917
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is near Rainbow Vegetarian Café in riverside, it is an english restaurant and it is n 't kid friendly.	0.2648	0.3260	4.7490	0.3561	0.5540	1.4200
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is an english restaurant and kid friendly, it is in riverside near Rainbow Vegetarian Café and it is a restaurant.	0.6935	0.7092	8.0849	0.4738	0.6987	2.5673
name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	Clowns is near All Bar One with a 3 out of 5 rating and it is a coffee shop.	0.5106	0.5442	4.9673	0.4197	0.5269	3.0802
name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Clowns is near Crowne Plaza Hotel with a 5 out of 5 rating and it is a coffee shop.	0.6608	0.6804	5.1395	0.4753	0.6702	3.6077
name[Clowns], eatType[coffee shop], near[The Sorrento]	Well, Clowns is near The Sorrento, it is a coffee shop.	0.0000	0.2033	1.4826	0.3358	0.3843	2.4837
name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Clowns is near All Bar One with a 3 out of 5 rating and it is a pub.	0.4699	0.5106	4.9319	0.4041	0.5622	2.9514
name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Clowns is near Crowne Plaza Hotel with a 5 out of 5 rating and it is a pub.	0.6386	0.6608	5.1238	0.4663	0.6667	3.5026
name[Clowns], eatType[pub], near[The Sorrento]	Clowns is near The Sorrento and it is a pub.	0.0000	0.1973	1.5100	0.3060	0.3188	2.6650
name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]	Cocum is near Burger King with a high rating and it is a coffee shop.	0.2652	0.3360	3.2400	0.3282	0.5291	2.8461
name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]	Cocum is near Café Sicilia with a high rating and it is a coffee shop.	0.3182	0.3921	4.1999	0.4043	0.5538	2.8737
name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]	Well, Cocum is near Café Sicilia, it is a coffee shop and it has a low rating.	0.2158	0.2765	2.7053	0.4166	0.4782	2.6260
name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]	Well, Cocum is near Express by Holiday Inn, it is a coffee shop and it has a low rating.	0.3651	0.3966	4.1663	0.4392	0.6131	2.2040
name[Cocum], eatType[coffee shop], near[The Rice Boat]	Well, Cocum is near The Rice Boat, it is a coffee shop.	0.4480	0.4936	3.2196	0.4172	0.4067	3.6893
name[Cocum], eatType[coffee shop], near[The Sorrento]	Well, Cocum is near The Sorrento, it is a coffee shop.	0.2402	0.3154	1.8114	0.4342	0.5417	3.3551
name[Cocum], eatType[pub], customer rating[high], near[Burger King]	Cocum is a pub with a high rating and it is near Burger King.	0.2788	0.3522	3.3967	0.3069	0.3805	3.0202
name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]	Cocum is a pub with a high rating and it is near Café Sicilia.	0.3656	0.4429	4.6297	0.3871	0.6711	2.7232
name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]	Cocum is near Café Sicilia with a low rating and it is a pub.	0.2850	0.3593	3.1350	0.4353	0.4680	3.5926
name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]	Cocum is near Express by Holiday Inn with a low rating and it is a pub.	0.4694	0.5118	5.0376	0.4767	0.7423	3.1998
