src	sys_out	BLEU	sentBLEU	NIST	METEOR	ROUGE_L	CIDEr
name[Blue Spice], eatType[coffee shop], area[city centre]	Blue Spice is a coffee shop in the city centre.	0.9672	0.9710	4.5424	0.5519	0.9564	7.2554
name[Blue Spice], eatType[coffee shop], area[riverside]	In the riverside area, is a coffee shop called Blue Spice.	0.5919	0.6356	4.7457	0.4989	0.7765	4.3923
name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.	0.6185	0.6386	4.3874	0.5416	0.8691	4.1977
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]	Blue Spice is a average rated coffee shop near Burger King.	0.5397	0.5900	3.6567	0.3900	0.5794	2.3734
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is a average rated coffee shop near Crowne Plaza Hotel.	0.0000	0.1912	2.3213	0.3443	0.2089	2.2413
name[Blue Spice], eatType[pub], area[city centre]	In the city centre is a pub called Blue Spice.	0.5774	0.6360	3.9058	0.4623	0.7000	3.8305
name[Blue Spice], eatType[pub], area[riverside]	Blue Spice is a pub in the riverside area.	0.5224	0.5781	3.5009	0.4962	0.7299	3.2591
name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.	0.6172	0.6379	4.3187	0.5341	0.8616	4.0870
name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]	Blue Spice is a pub near Burger King with an average customer rating.	0.5299	0.5706	4.6603	0.4521	0.5151	3.0926
name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is a pub near Crowne Plaza Hotel with an average customer rating.	0.3735	0.4267	3.4063	0.4725	0.5483	3.5541
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a chinese pub in the city centre near Rainbow Vegetarian Café. It is not family friendly.	0.6410	0.6624	3.4954	0.4487	0.6293	1.2425
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly chinese pub in the city centre near Rainbow Vegetarian Café.	0.5069	0.5208	3.3986	0.4039	0.7451	2.3166
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a chinese pub in the riverside area near Rainbow Vegetarian Café. It is not family friendly.	0.6678	0.6837	4.9576	0.4233	0.7766	3.1944
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly pub serving chinese food in the riverside area near Rainbow Vegetarian Café.	0.8350	0.8454	7.0778	0.4957	0.8918	3.2742
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an english pub in the city centre near Rainbow Vegetarian Café. It is not family-friendly.	0.6823	0.6978	4.0151	0.3837	0.5925	1.6945
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly english pub in the city centre near Rainbow Vegetarian Café.	0.8320	0.8397	4.4541	0.5588	0.7707	3.4878
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an english pub in the riverside area near Rainbow Vegetarian Café. It is not family-friendly.	0.6005	0.6252	5.3125	0.4419	0.7013	2.5812
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly pub serving english food in the riverside area near Rainbow Vegetarian Café.	0.9071	0.9126	6.9559	0.5227	0.8841	2.9200
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a chinese restaurant in the city centre near Rainbow Vegetarian Café. It is not family friendly.	0.6410	0.6624	3.4954	0.4487	0.6293	1.2698
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly chinese restaurant in the city centre near Rainbow Vegetarian Café.	0.5069	0.5208	3.3986	0.4039	0.7451	2.4050
