src	sys_out	BLEU	sentBLEU	NIST	METEOR	ROUGE_L	CIDEr
name[Blue Spice], eatType[coffee shop], area[city centre]	Blue Spice is a coffee shop in the city centre.	0.9672	0.9710	4.5424	0.5519	0.9564	7.2554
name[Blue Spice], eatType[coffee shop], area[riverside]	A coffee shop in riverside is Blue Spice.	0.0001	0.2976	2.3067	0.3671	0.5117	2.9044
name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is a coffee shop located near Crowne Plaza Hotel. It has a customer rating of 5 out of 5.	0.7244	0.7386	5.3825	0.5282	0.8841	3.9622
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]	Blue Spice is a coffee shop near Burger King with average customer ratings.	0.6356	0.6700	4.8259	0.4465	0.5887	2.8929
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is a coffee shop near Crowne Plaza Hotel with average customer ratings.	0.0000	0.2461	3.0610	0.4311	0.3952	2.9097
name[Blue Spice], eatType[pub], area[city centre]	Blue Spice is a pub located in the city centre.	0.6530	0.6950	3.7240	0.4905	0.9071	4.9709
name[Blue Spice], eatType[pub], area[riverside]	There is a pub called Blue Spice in the riverside area.	0.8345	0.8512	4.6482	0.5527	0.9606	5.1395
name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.	0.6172	0.6379	4.3187	0.5341	0.8616	4.0870
name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]	Blue Spice is a pub near Burger King with an average customer rating.	0.5299	0.5706	4.6603	0.4521	0.5151	3.0926
name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is a pub near Crowne Plaza Hotel with an average customer rating.	0.3735	0.4267	3.4063	0.4725	0.5483	3.5541
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a chinese pub located in the city centre near Rainbow Vegetarian Café. It is not family friendly.	0.5629	0.5757	4.1143	0.4460	0.6372	1.4029
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a chinese pub located in the city centre near Rainbow Vegetarian Café. It is family friendly.	0.5923	0.6114	4.8331	0.4303	0.6937	3.2687
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a chinese pub in riverside near Rainbow Vegetarian Café. It is not family friendly.	0.6582	0.6705	4.5213	0.4129	0.7903	2.6807
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly pub that serves chinese food. It is located in the riverside area near Rainbow Vegetarian Café.	0.9160	0.9198	7.8327	0.4752	0.8866	3.0257
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an english pub near Rainbow Vegetarian Café in the city centre. It is not family-friendly.	0.6961	0.7109	3.9164	0.3737	0.6963	1.7418
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly english pub near Rainbow Vegetarian Café in the city centre.	0.9394	0.9394	4.0286	0.6418	0.9621	4.1737
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an english pub near Rainbow Vegetarian Café in riverside. It is not family-friendly.	0.5281	0.5685	4.5712	0.4290	0.6875	2.0735
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly english pub near Rainbow Vegetarian Café in riverside.	0.9365	0.9415	4.2845	0.5384	0.9286	2.0902
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a chinese restaurant near Rainbow Vegetarian Café in the city centre. It is not family friendly.	0.7918	0.8028	3.8417	0.4487	0.6783	1.3493
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family friendly chinese restaurant located in the city centre near the Rainbow Vegetarian Café.	0.6974	0.7040	4.4456	0.4741	0.8114	3.4759
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a chinese restaurant in riverside near Rainbow Vegetarian Café. It is not family friendly.	0.6582	0.6705	4.5213	0.4129	0.7903	2.7706
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice provides chinese food it is located in the riverside. It is near Rainbow Vegetarian Café.	0.8664	0.8739	6.5282	0.5175	0.8524	2.5256
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a non family-friendly restaurant located in the city centre near Rainbow Vegetarian Café.	0.6376	0.6478	2.5497	0.4071	0.7625	1.3701
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly english restaurant near Rainbow Vegetarian Café in the city centre.	0.9394	0.9394	4.0286	0.6418	0.9621	4.1700
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an english restaurant near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.	0.4776	0.5170	5.1219	0.4263	0.6540	2.3893
