src	sys_out	BLEU	sentBLEU	NIST	METEOR	ROUGE_L	CIDEr
name[Blue Spice], eatType[coffee shop], area[city centre]	In the city centre Blue Spice is a coffee shop with a price range of more than £30.	0.3882	0.4246	2.2780	0.4593	0.4581	1.1441
name[Blue Spice], eatType[coffee shop], area[riverside]	Blue Spice is a high priced coffee shop in the riverside area.	0.4051	0.4680	3.4630	0.4636	0.7011	2.9575
name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	With a customer rating of 5 out of 5, Blue Spice is a coffee shop near Crowne Plaza Hotel.	0.6252	0.6468	4.6897	0.5416	0.5946	3.9669
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]	Blue Spice is an average rated coffee shop near Burger King.	0.5397	0.5900	3.6009	0.3900	0.5794	2.4412
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is an average rated coffee shop near Crowne Plaza Hotel.	0.0000	0.2001	2.3213	0.3541	0.2089	2.3576
name[Blue Spice], eatType[pub], area[city centre]	In the city centre is the pub Blue Spice.	0.4046	0.4962	3.5370	0.4527	0.6256	3.0983
name[Blue Spice], eatType[pub], area[riverside]	In the riverside area is Blue Spice pub.	0.3145	0.3955	2.8804	0.4364	0.5117	2.7343
name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.	0.6172	0.6379	4.3187	0.5341	0.8616	4.0870
name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]	Blue Spice is a pub near Burger King with an average customer rating.	0.5299	0.5706	4.6603	0.4521	0.5151	3.0926
name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is a pub near Crowne Plaza Hotel with an average customer rating.	0.3735	0.4267	3.4063	0.4725	0.5483	3.5541
