name[Blue Spice], eatType[coffee shop], area[city centre]	In the city centre is a coffee shop called Blue Spice.
name[Blue Spice], eatType[coffee shop], area[riverside]	In the riverside area there is a coffee shop called Blue Spice.
name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is a 5 out of 5 rated coffee shop near Crowne Plaza Hotel.
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]	Blue Spice is an average rated coffee shop near Burger King.
name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is an average rated coffee shop near Crowne Plaza Hotel.
name[Blue Spice], eatType[pub], area[city centre]	In the city centre is a pub called Blue Spice.
name[Blue Spice], eatType[pub], area[riverside]	In the riverside area there is a pub called Blue Spice.
name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Blue Spice is a 5 out of 5 rated pub near Crowne Plaza Hotel.
name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]	Blue Spice is an average rated pub near Burger King.
name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]	Blue Spice is an average rated pub near Crowne Plaza Hotel.
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese pub near Rainbow Vegetarian Café in the city centre it is not family-friendly.
name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese pub near Rainbow Vegetarian Café in the city centre it is family friendly.
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese pub near Rainbow Vegetarian Café in the riverside area it is not family-friendly.
name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese pub near Rainbow Vegetarian Café in riverside it is family friendly.
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a pub that serves English food near Rainbow Vegetarian Café in the city centre it is not family-friendly.
name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is an pub near Rainbow Vegetarian Café in the city centre it is family-friendly.
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an pub near Rainbow Vegetarian Café in the riverside area it is not family-friendly.
name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a family-friendly pub near Rainbow Vegetarian Café in riverside serves English food.
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese restaurant near Rainbow Vegetarian Café in the city centre it is not family-friendly.
name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese restaurant near Rainbow Vegetarian Café in the city centre it is family friendly.
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese restaurant near Rainbow Vegetarian Café in riverside it is not family-friendly.
name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is a Chinese restaurant near Rainbow Vegetarian Café in riverside it is family friendly.
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an restaurant near Rainbow Vegetarian Café in the city centre it is not family-friendly.
name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is an restaurant in the city centre near Rainbow Vegetarian Café it is family friendly.
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	Blue Spice is an restaurant near Rainbow Vegetarian Café in riverside it is not family-friendly.
name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	Blue Spice is an restaurant in riverside near Rainbow Vegetarian Café it is family friendly.
name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]	Clowns is a 3 out of 5 rated coffee shop near All Bar One.
name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Clowns is a 5 out of 5 rated coffee shop near Crowne Plaza Hotel.
name[Clowns], eatType[coffee shop], near[The Sorrento]	Clowns is a coffee shop near The Sorrento.
name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]	Clowns is a pub near All Bar One and has a customer rating of 3 out of 5.
name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]	Clowns is a 5 out of 5 rated pub near Crowne Plaza Hotel.
name[Clowns], eatType[pub], near[The Sorrento]	Clowns is a pub near The Sorrento.
name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]	Cocum is a highly rated coffee shop near Burger King.
name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]	Cocum is a highly rated coffee shop near Café Sicilia.
name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]	Cocum is a low rated coffee shop near Café Sicilia.
