_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,natur1,natur2,natur3,natur4,natur5,dupl_ref1,dupl_ref2,dupl_ref3,dupl_ref4,dupl_ref5,mr,mr_id,natur1_gold,natur2_gold,natur3_gold,natur4_gold,natur5_gold,ref1,ref2,ref3,ref4,ref5,sys1,sys2,sys3,sys4,sys5
1468882741,11/29/2017 03:29:18,3093858247,11/29/2017 03:28:06,False,prodege,1.0,43074930,USA,IL,La Grange Park,99.48.61.39,40,60,100,100,100,,,,5.0,4.0,"name[Blue Spice], eatType[coffee shop], area[city centre]",1,,,,,,The city centre is a coffee shop called Blue Spice.,In city centre is a coffee shop called Blue Spice.,Blue Spice is a coffee shop located in the city centre .,Blue Spice is a coffee shop in the city centre.,Blue Spice is a coffee shop in the city centre.,tnt1,tr2,zhang,slug,tgen
1468882741,11/29/2017 05:06:37,3094068063,11/29/2017 05:04:11,False,prodege,1.0,26643631,CAN,ON,Kingston,108.170.162.246,50,50,100,100,100,,,,5.0,4.0,"name[Blue Spice], eatType[coffee shop], area[city centre]",1,,,,,,The city centre is a coffee shop called Blue Spice.,In city centre is a coffee shop called Blue Spice.,Blue Spice is a coffee shop located in the city centre .,Blue Spice is a coffee shop in the city centre.,Blue Spice is a coffee shop in the city centre.,tnt1,tr2,zhang,slug,tgen
1468882741,11/29/2017 05:52:42,3094141782,11/29/2017 05:51:59,False,elite,1.0,43584008,USA,CA,El Macero,67.182.20.84,50,40,100,100,100,,,,5.0,4.0,"name[Blue Spice], eatType[coffee shop], area[city centre]",1,,,,,,The city centre is a coffee shop called Blue Spice.,In city centre is a coffee shop called Blue Spice.,Blue Spice is a coffee shop located in the city centre .,Blue Spice is a coffee shop in the city centre.,Blue Spice is a coffee shop in the city centre.,tnt1,tr2,zhang,slug,tgen
1468882742,11/28/2017 00:01:09,3090148971,11/28/2017 00:00:48,False,clixsense,1.0,6344072,CAN,BC,Burnaby,64.180.175.167,100,100,100,100,100,,,,,,"name[Blue Spice], eatType[coffee shop], area[riverside]",2,,,,,,blue spice is a coffee shop located near riverside.,There is a coffee shop in the riverside area called Blue Spice which has a low customer rating.,Blue spice is a coffee shop in the riverside area.,Blue Spice is located down by the riverside of Cambridge. It is also a coffee shop.,"In the riverside area, there is a coffee shop called Blue Spice.",tr1,zhaw1,chen,tr2,forge3
1468882742,11/28/2017 00:01:37,3090149863,11/28/2017 00:01:06,False,prodege,1.0,40421145,GBR,F8,Saint Albans,82.24.186.246,100,100,100,100,80,,,,,,"name[Blue Spice], eatType[coffee shop], area[riverside]",2,,,,,,blue spice is a coffee shop located near riverside.,There is a coffee shop in the riverside area called Blue Spice which has a low customer rating.,Blue spice is a coffee shop in the riverside area.,Blue Spice is located down by the riverside of Cambridge. It is also a coffee shop.,"In the riverside area, there is a coffee shop called Blue Spice.",tr1,zhaw1,chen,tr2,forge3
1468882742,11/28/2017 13:07:46,3091531035,11/28/2017 13:06:31,False,neodev,1.0,12115558,USA,OH,Macedonia,104.230.115.153,100,100,100,90,100,,,,,,"name[Blue Spice], eatType[coffee shop], area[riverside]",2,,,,,,blue spice is a coffee shop located near riverside.,There is a coffee shop in the riverside area called Blue Spice which has a low customer rating.,Blue spice is a coffee shop in the riverside area.,Blue Spice is located down by the riverside of Cambridge. It is also a coffee shop.,"In the riverside area, there is a coffee shop called Blue Spice.",tr1,zhaw1,chen,tr2,forge3
1468882743,11/29/2017 09:04:34,3094448448,11/29/2017 09:04:22,False,elite,1.0,40936543,USA,VA,Manassas,207.244.72.201,100,90,80,100,100,5.0,,,,1.0,"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",3,,,,,,Blue spice is a coffee shop near crowne plaza hotel with a customer rating of 5 out of 5.,blue spice is a coffee shop near crowne plaza hotel. it has a 5 out of 5 customer rating.,A coffee shop near Crowne Plaza Hotel is Blue Spice. It has a customer rating of 5 out of 5.,Blue Spice is a pub near Crowne Plaza Hotel.,Blue Spice is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.,chen,tr1,zhaw2,sheff2,sheff1
1468882743,11/29/2017 09:23:17,3094479214,11/29/2017 09:22:46,False,neodev,1.0,34785135,CAN,ON,Sudbury,208.96.81.220,100,98,100,100,100,5.0,,,,1.0,"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",3,,,,,,Blue spice is a coffee shop near crowne plaza hotel with a customer rating of 5 out of 5.,blue spice is a coffee shop near crowne plaza hotel. it has a 5 out of 5 customer rating.,A coffee shop near Crowne Plaza Hotel is Blue Spice. It has a customer rating of 5 out of 5.,Blue Spice is a pub near Crowne Plaza Hotel.,Blue Spice is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.,chen,tr1,zhaw2,sheff2,sheff1
1468882743,11/29/2017 09:49:45,3094526790,11/29/2017 09:48:09,False,vivatic,1.0,12878402,GBR,F8,Saint Albans,79.73.122.234,100,100,90,90,100,5.0,,,,1.0,"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",3,,,,,,Blue spice is a coffee shop near crowne plaza hotel with a customer rating of 5 out of 5.,blue spice is a coffee shop near crowne plaza hotel. it has a 5 out of 5 customer rating.,A coffee shop near Crowne Plaza Hotel is Blue Spice. It has a customer rating of 5 out of 5.,Blue Spice is a pub near Crowne Plaza Hotel.,Blue Spice is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.,chen,tr1,zhaw2,sheff2,sheff1
1468882744,11/29/2017 01:53:36,3093621180,11/29/2017 01:53:22,False,gifthunterclub,1.0,44054204,USA,GA,Atlanta,104.129.18.18,70,60,70,80,80,,,,,,"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",4,,,,,,A coffee shop near Burger King is Blue Spice. It has an average customer rating.,The coffee shop Blue Spice is by Burger King. It has an average customer rating.,Blue Spice is located near to Burger King. It has an average rating and there is a coffee shop.,Blue Spice is a coffee shop near Burger King with an average customer rating and a cheap price range.,Blue Spice is a coffee shop located neat Burger King .,zhaw2,forge1,tr2,gong,adapt
